epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,10074.7,0.53723,0.29986,0.0074,0.9783,0.98434,0.98988,0.96016,0.2825,0.13589,0.00592,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,10190.3,0.53055,0.2899,0.00742,0.97807,0.9832,0.9904,0.96245,0.27636,0.1349,0.0058,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,10306.7,0.5296,0.29609,0.00729,0.97817,0.98559,0.99069,0.96243,0.27783,0.13131,0.0058,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,10423.9,0.52879,0.29064,0.00741,0.98281,0.98075,0.99036,0.96253,0.27726,0.13389,0.00582,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,10539.2,0.526,0.29527,0.00721,0.98016,0.98365,0.99098,0.96388,0.27239,0.13279,0.00569,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,10655.7,0.52003,0.28178,0.0071,0.98532,0.97666,0.99129,0.96479,0.27319,0.13146,0.00571,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,10772.3,0.52714,0.29115,0.00729,0.97883,0.98578,0.99065,0.96336,0.27392,0.13093,0.00576,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,10888,0.51986,0.28212,0.00722,0.97929,0.98531,0.99072,0.96398,0.2727,0.13077,0.00573,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,11003.1,0.51763,0.2887,0.00715,0.97813,0.98541,0.99111,0.96554,0.26984,0.12779,0.00565,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,11120.6,0.5151,0.27205,0.00711,0.98042,0.98446,0.99048,0.96457,0.26728,0.12804,0.0056,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,11236.1,0.51058,0.27884,0.00697,0.98058,0.9836,0.9908,0.96544,0.26833,0.13052,0.00563,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,11352.2,0.5133,0.28146,0.00711,0.97955,0.9851,0.99066,0.96606,0.26488,0.1306,0.00555,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,11469.4,0.50687,0.27942,0.00686,0.97807,0.9877,0.9911,0.96628,0.26486,0.12533,0.00554,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
